# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
ba ta 	把它	c=1 d=3.99606e-33 t=25487
ba wo 	把我	c=2 d=0.440431 t=25487
ba wo 	把握	c=1 d=5.77226e-36 t=25487
ba xian wang 	八贤王	c=1 d=6.86427e-45 t=25487
ba xiang 	靶向	c=5 d=8.80737e-22 t=25487
ba zong 	霸总	c=1 d=5.67164e-35 t=25487
bai 	白	c=2 d=3.02252e-34 t=25487
bai bai 	拜拜	c=1 d=0.0347353 t=25487
bai du 	百度	c=2 d=3.31492e-11 t=25487
bai du che 	摆渡车	c=1 d=0.138761 t=25487
bai fa 	白发	c=1 d=1.14785e-34 t=25487
bai gu jing 	白骨精	c=1 d=1.04906e-34 t=25487
bai huai 	败坏	c=2 d=4.12636e-44 t=25487
bai se 	白色	c=2 d=1.44956e-36 t=25487
bai tuo 	拜托	c=1 d=2.11255e-34 t=25487
bai yin bi you guo 	百因必有果	c=1 d=6.25958e-19 t=25487
ban 	办	c=0 d=8.28205e-49 t=25487
ban 	半	c=4 d=0.00767337 t=25487
ban 	搬	c=5 d=0.00438849 t=25487
ban 	板	c=1 d=4.43936e-06 t=25487
ban 	版	c=7 d=0.000884932 t=25487
ban ben 	版本	c=6 d=1.01307e-05 t=25487
ban che 	班车	c=2 d=0.943436 t=25487
ban dao 	办到	c=1 d=3.50295e-13 t=25487
ban dao 	搬到	c=2 d=6.73311e-20 t=25487
ban de 	版的	c=1 d=2.74029e-36 t=25487
ban fa 	办法	c=6 d=1.26315e-13 t=25487
ban fang 	板房	c=10 d=0.430416 t=25487
ban ge yue 	半个月	c=1 d=2.76303e-45 t=25487
ban gong 	办公	c=1 d=0.00657159 t=25487
ban gong shi 	办公室	c=5 d=0.0277747 t=25487
ban gong yong 	办公用	c=1 d=8.32352e-48 t=25487
ban guo 	搬过	c=1 d=5.65796e-36 t=25487
ban guo lai 	搬过来	c=0 d=2.96085e-36 t=25487
ban guo lai le 	搬过来了	c=1 d=2.97569e-35 t=25487
ban hao 	办好	c=1 d=1.08119e-36 t=25487
ban jia 	搬家	c=2 d=0.767206 t=25487
ban nian 	半年	c=2 d=4.43318e-19 t=25487
ban qiang 	板腔	c=1 d=1.02333e-36 t=25487
ban qu 	搬去	c=1 d=0.00069264 t=25487
ban tian 	半天	c=1 d=2.76736e-34 t=25487
ban zhang 	班长	c=1 d=6.79136e-37 t=25487
ban zhu ren 	班主任	c=1 d=1.74277e-35 t=25487
ban zou 	伴奏	c=12 d=0.844155 t=25487
ban zou 	搬走	c=1 d=0.798516 t=25487
bang 	帮	c=1 d=1.62999e-42 t=25487
bang dao 	帮到	c=1 d=2.28538e-18 t=25487
bang ding 	绑定	c=1 d=5.05551e-35 t=25487
bang mang 	帮忙	c=3 d=6.37916e-20 t=25487
bang ni 	帮你	c=1 d=6.60565e-05 t=25487
bang ni mang 	帮你忙	c=1 d=1.1824e-30 t=25487
bang wo 	帮我	c=16 d=0.0536057 t=25487
bang zhu 	帮助	c=2 d=0.0148464 t=25487
bang zi 	棒子	c=1 d=9.75779e-36 t=25487
bang zi 	膀子	c=1 d=3.78298e-06 t=25487
bao 	包	c=15 d=0.0164078 t=25487
bao cang 	保藏	c=10 d=2.40949e-08 t=25487
bao cang zhong xin 	保藏中心	c=4 d=9.44845e-10 t=25487
bao chi 	保持	c=1 d=3.40001e-15 t=25487
bao cun 	保存	c=2 d=3.1751e-05 t=25487
bao cun wei 	保存为	c=1 d=3.64146e-28 t=25487
bao cun ye 	保存液	c=2 d=0.000652892 t=25487
bao cuo 	报错	c=4 d=2.15506e-34 t=25487
bao dao 	报道	c=2 d=4.80744e-38 t=25487
bao fa 	爆发	c=3 d=2.92392e-05 t=25487
bao gao 	报告	c=18 d=1.05034e-09 t=25487
bao han 	包含	c=2 d=2.78463e-19 t=25487
bao han zai nei 	包含在内	c=0 d=2.5723e-28 t=25487
bao he 	饱和	c=1 d=2.28569e-49 t=25487
bao jia 	报价	c=1 d=3.38132e-09 t=25487
bao jian 	保荐	c=0 d=4.50938e-44 t=25487
bao jian 	宝剑	c=1 d=2.1129e-36 t=25487
bao jian ni 	保荐你	c=1 d=4.53197e-43 t=25487
bao jing 	宝镜	c=1 d=6.59065e-37 t=25487
bao kuo 	包括	c=7 d=1.91652e-06 t=25487
bao liu 	保留	c=2 d=3.09766e-37 t=25487
bao ming 	报名	c=4 d=1.18723e-34 t=25487
bao mu 	报幕	c=1 d=7.32524e-45 t=25487
bao qian 	抱歉	c=6 d=0.000225994 t=25487
bao shou 	保守	c=2 d=0.00066709 t=25487
bao shou ji yin 	保守基因	c=1 d=0.00670434 t=25487
bao xiao 	报销	c=5 d=1.61983e-08 t=25487
bao yang 	保养	c=0 d=9.00938e-10 t=25487
bao yang wo 	保养我	c=1 d=9.05453e-09 t=25487
bao zhen 	抱枕	c=1 d=1.1908e-25 t=25487
bao zheng 	保证	c=2 d=1.36482e-12 t=25487
beast 	beast	c=3 d=1.01006e-29 t=25487
bed 	bed	c=1 d=1.97482e-35 t=25487
bed too ls 	bedtools	c=1 d=2.19346e-35 t=25487
bei 	呗	c=8 d=0.000248755 t=25487
bei 	背	c=1 d=2.99835e-36 t=25487
bei 	被	c=32 d=0.03961 t=25487
bei bei 	背背	c=1 d=2.91926e-45 t=25487
bei bi 	卑鄙	c=1 d=0.0243554 t=25487
bei dong 	被动	c=1 d=0.00283702 t=25487
bei fang ren 	北方人	c=1 d=6.8419e-36 t=25487
bei fen 	备份	c=5 d=1.10657e-43 t=25487
bei fen dao 	备份到	c=1 d=2.67536e-48 t=25487
bei fen hao 	备份好	c=1 d=3.45245e-48 t=25487
bei hou 	背后	c=1 d=1.96197e-17 t=25487
bei jing 	北京	c=4 d=0.00951527 t=25487
bei jing 	背景	c=5 d=5.86267e-13 t=25487
bei lun 	悖论	c=1 d=0.0317457 t=25487
bei min 	悲悯	c=1 d=1.18281e-34 t=25487
bei wo 	被窝	c=1 d=0.170333 t=25487
bei zhe 	背着	c=1 d=0.000536739 t=25487
bei zhu 	备注	c=1 d=2.43679e-08 t=25487
bei zi 	被子	c=2 d=1.19095e-17 t=25487
ben 	本	c=1 d=6.79364e-41 t=25487
ben ci 	本次	c=2 d=2.3602e-38 t=25487
ben di 	本地	c=5 d=0.000428595 t=25487
ben jia 	本家	c=1 d=2.87345e-06 t=25487
ben lai 	本来	c=8 d=3.44254e-07 t=25487
ben ren 	本人	c=2 d=1.17695e-05 t=25487
ben shen 	本身	c=3 d=4.80322e-21 t=25487
ben zun 	本尊	c=1 d=8.49051e-17 t=25487
beng kui 	崩溃	c=2 d=7.21485e-28 t=25487
beta 	beta	c=1 d=2.27746e-36 t=25487
bi 	比	c=8 d=3.07989e-05 t=25487
bi ci 	彼此	c=2 d=7.95481e-15 t=25487
bi dui 	比对	c=18 d=0.00125347 t=25487
bi dui hou 	比对后	c=1 d=3.13743e-40 t=25487
bi ji ben 	笔记本	c=7 d=1.27577e-09 t=25487
bi jiao 	比较	c=24 d=4.12718e-07 t=25487
bi jiao chang 	比较长	c=1 d=5.98212e-15 t=25487
bi jiao kuai 	比较快	c=1 d=8.42633e-16 t=25487
bi jing 	毕竟	c=15 d=0.070722 t=25487
bi li 	比例	c=11 d=0.0081073 t=25487
bi li bi li 	哔哩哔哩	c=2 d=1.5026e-10 t=25487
bi om 	biom	c=1 d=1.62915e-36 t=25487
bi ru 	比如	c=5 d=1.26293e-11 t=25487
bi ru shuo 	比如说	c=1 d=5.66007e-11 t=25487
bi shi 	彼时	c=1 d=3.83349e-15 t=25487
bi wo 	比我	c=3 d=9.16765e-08 t=25487
bi xu 	必须	c=1 d=1.42493e-19 t=25487
bi yao 	必要	c=5 d=1.10078e-12 t=25487
bi ye 	毕业	c=1 d=5.71092e-28 t=25487
bi ye ji 	毕业季	c=2 d=1.79664e-32 t=25487
bi zhe 	比这	c=1 d=0.182683 t=25487
bi zhi 	壁纸	c=1 d=1.02072e-06 t=25487
bi zhi 	比值	c=1 d=0.00690852 t=25487
bian 	变	c=5 d=5.87974e-25 t=25487
bian 	编	c=0 d=3.34757e-39 t=25487
bian 	边	c=1 d=2.40297e-20 t=25487
bian bu xia qu le 	编不下去了	c=1 d=3.36435e-38 t=25487
bian cheng 	变成	c=4 d=2.7154e-09 t=25487
bian cheng 	编程	c=1 d=5.80021e-34 t=25487
bian hao 	编号	c=7 d=2.69223e-11 t=25487
bian hua 	变化	c=3 d=7.86044e-21 t=25487
bian ji 	编辑	c=11 d=1.10796e-22 t=25487
bian ji bu 	编辑部	c=2 d=1.42545e-40 t=25487
bian ji qi 	编辑器	c=4 d=8.65464e-07 t=25487
bian kan 	边看	c=1 d=7.11626e-28 t=25487
bian lun 	辩论	c=0 d=1.08642e-35 t=25487
bian lun gao 	辩论稿	c=1 d=1.09187e-34 t=25487
bian lun sai 	辩论赛	c=1 d=1.10837e-34 t=25487
bian man 	变慢	c=1 d=0.000407691 t=25487
bian shang 	边上	c=3 d=6.191e-07 t=25487
bian wei 	变为	c=1 d=5.2882e-35 t=25487
bian xie 	边写	c=1 d=7.1878e-28 t=25487
bian yi 	变异	c=4 d=4.97626e-21 t=25487
bian yi 	编译	c=2 d=2.76512e-24 t=25487
biao 	标	c=1 d=0.000925663 t=25487
biao 	表	c=6 d=8.51752e-08 t=25487
biao chu lai 	标出来	c=1 d=3.71692e-34 t=25487
biao da 	表达	c=4 d=3.26836e-21 t=25487
biao ge 	表格	c=2 d=2.60628e-26 t=25487
biao hao 	标号	c=1 d=1.46199e-27 t=25487
biao huang 	标黄	c=1 d=8.76574e-10 t=25487
biao ji 	标记	c=3 d=5.18938e-10 t=25487
biao ming 	表明	c=14 d=1.94074e-11 t=25487
biao qian 	标签	c=1 d=3.42415e-10 t=25487
biao qian ye 	标签页	c=1 d=4.92566e-23 t=25487
biao qing 	表情	c=3 d=0.0107312 t=25487
biao shang 	标上	c=1 d=3.86861e-34 t=25487
biao shi 	表示	c=5 d=8.41777e-30 t=25487
biao shu 	表述	c=1 d=4.27024e-49 t=25487
biao ti 	标题	c=4 d=5.90969e-21 t=25487
biao xian chu 	表现出	c=1 d=5.61999e-45 t=25487
biao xing 	表型	c=2 d=2.57611e-35 t=25487
biao zheng 	表征	c=1 d=3.72209e-21 t=25487
biao zhu 	标注	c=1 d=9.20861e-31 t=25487
biao zhun 	标准	c=5 d=9.91907e-23 t=25487
bie 	别	c=7 d=0.26054 t=25487
bie de 	别的	c=3 d=3.91839e-08 t=25487
bie jiao 	别叫	c=0 d=6.88932e-30 t=25487
bie jiao ta 	别叫他	c=1 d=6.92383e-29 t=25487
bie ke qi 	别客气	c=1 d=1.70827e-35 t=25487
bie lan zhe 	别拦着	c=1 d=4.39056e-23 t=25487
bie niu 	别扭	c=1 d=2.13937e-06 t=25487
bie ren 	别人	c=16 d=0.0645703 t=25487
bie xiang tai duo 	别想太多	c=1 d=3.80505e-45 t=25487
bing 	并	c=15 d=0.00337959 t=25487
bing 	病	c=4 d=1.43504e-14 t=25487
bing bu 	并不	c=1 d=9.93259e-39 t=25487
bing du 	病毒	c=40 d=0.000389014 t=25487
bing du bing 	病毒病	c=9 d=3.01193e-30 t=25487
bing du suo 	病毒所	c=5 d=0.0182989 t=25487
bing du xue 	病毒学	c=1 d=2.96045e-05 t=25487
bing du yan jiu suo 	病毒研究所	c=1 d=1.12708e-25 t=25487
bing le 	病了	c=1 d=6.83003e-45 t=25487
bing li 	病例	c=1 d=1.81106e-46 t=25487
bing qie 	并且	c=1 d=1.74877e-46 t=25487
bing qing 	病情	c=2 d=6.95418e-21 t=25487
bing ren 	病人	c=2 d=0.00108086 t=25487
bing tu 	饼图	c=2 d=0.0249977 t=25487
bing xiang 	冰箱	c=1 d=5.57183e-32 t=25487
bing yuan 	病原	c=21 d=1.81544e-08 t=25487
bing yuan ti 	病原体	c=5 d=2.90197e-18 t=25487
bing zhuang tu 	饼状图	c=1 d=0.00744658 t=25487
bo 	薄	c=0 d=0.00026189 t=25487
bo da jing shen 	博大精深	c=1 d=7.15557e-34 t=25487
bo fang qi 	播放器	c=1 d=7.38126e-17 t=25487
bo hou 	博后	c=3 d=3.06505e-32 t=25487
bo hou 	播后	c=1 d=9.05269e-36 t=25487
bo ji 	波及	c=1 d=5.28083e-48 t=25487
bo ke 	博客	c=1 d=2.86593e-34 t=25487
bo shi 	博士	c=3 d=0.00189223 t=25487
bu 	不	c=36 d=0.454424 t=25487
bu 	部	c=2 d=1.7582e-21 t=25487
bu ai 	不爱	c=0 d=5.61538e-07 t=25487
bu bi 	不必	c=2 d=1.42277e-30 t=25487
bu bi yao 	不必要	c=1 d=1.76395e-30 t=25487
bu bian 	不变	c=1 d=1.03059e-31 t=25487
bu cai 	不才	c=1 d=6.33241e-08 t=25487
bu ce 	补测	c=1 d=2.33036e-12 t=25487
bu cha 	不差	c=0 d=8.60239e-25 t=25487
bu chi 	不吃	c=4 d=4.25333e-13 t=25487
bu chi fan 	不吃饭	c=1 d=3.84865e-32 t=25487
bu chong 	补充	c=10 d=1.91803e-08 t=25487
bu chu 	不出	c=1 d=3.30806e-16 t=25487
bu chu lai 	不出来	c=0 d=1.55504e-48 t=25487
bu chuan 	不穿	c=1 d=4.05714e-35 t=25487
bu cun zai 	不存在	c=1 d=2.14491e-07 t=25487
bu cuo 	不错	c=12 d=0.104365 t=25487
bu da 	不大	c=9 d=5.65662e-26 t=25487
bu da 	不打	c=1 d=3.46033e-16 t=25487
bu da qiu 	不打球	c=1 d=3.7947e-13 t=25487
bu dai 	不带	c=1 d=6.25322e-07 t=25487
bu dao 	不到	c=3 d=1.5457e-35 t=25487
bu di 	不低	c=2 d=7.03347e-08 t=25487
bu dong 	不动	c=1 d=4.2682e-14 t=25487
bu duan 	不断	c=1 d=4.09151e-46 t=25487
bu duan 	不短	c=1 d=0.000678925 t=25487
bu dui 	不对	c=4 d=2.07933e-24 t=25487
bu dui jin 	不对劲	c=1 d=5.72866e-35 t=25487
bu duo 	不多	c=7 d=0.00118857 t=25487
bu fan 	不凡	c=1 d=2.96095e-06 t=25487
bu fang 	不放	c=1 d=4.49009e-22 t=25487
bu fen 	部分	c=9 d=0.000593188 t=25487
bu fu 	不复	c=0 d=9.58771e-36 t=25487
bu fu za 	不复杂	c=1 d=9.63569e-35 t=25487
bu gai 	不盖	c=1 d=0.171187 t=25487
bu gai 	不该	c=2 d=8.53014e-13 t=25487
bu gan 	不敢	c=8 d=0.0475963 t=25487
bu gan mao 	不感冒	c=1 d=8.4467e-15 t=25487
bu gao su ni 	不告诉你	c=1 d=8.91788e-36 t=25487
bu gen 	不跟	c=1 d=3.25261e-23 t=25487
bu geng 	不更	c=1 d=5.13192e-35 t=25487
bu gou 	不够	c=3 d=5.66392e-19 t=25487
bu gou yong 	不够用	c=1 d=3.58785e-30 t=25487
bu guan 	不管	c=4 d=1.63398e-12 t=25487
bu guan le 	不管了	c=2 d=5.47657e-35 t=25487
bu guo 	不过	c=11 d=4.16627e-05 t=25487
bu guo lai 	不过来	c=2 d=8.08904e-06 t=25487
bu guo shi 	不过是	c=1 d=1.05557e-48 t=25487
bu hao 	不好	c=8 d=0.0722201 t=25487
bu he 	不和	c=1 d=2.42959e-32 t=25487
bu he ge 	不合格	c=1 d=0.00138785 t=25487
bu he shi 	不合适	c=1 d=2.98238e-32 t=25487
bu hui 	不会	c=9 d=8.29806e-12 t=25487
bu hui 	不回	c=3 d=8.52434e-05 t=25487
bu hui le 	不会了	c=0 d=3.93736e-07 t=25487
bu hui shi 	不会是	c=1 d=1.84545e-32 t=25487
bu huo 	捕获	c=1 d=1.88113e-22 t=25487
bu ji 	不急	c=3 d=2.72671e-07 t=25487
bu ji 	不记	c=0 d=3.6339e-34 t=25487
bu ji de 	不记得	c=2 d=2.17016e-48 t=25487
bu ji shi 	不记事	c=1 d=3.65212e-33 t=25487
bu jia 	不加	c=1 d=4.99296e-29 t=25487
bu jian 	不见	c=1 d=2.69252e-35 t=25487
bu jian yi 	不建议	c=2 d=4.31347e-20 t=25487
bu jie hun 	不结婚	c=3 d=2.52177e-07 t=25487
bu jin 	不进	c=2 d=0.0342181 t=25487
bu jiu 	不就	c=5 d=0.677514 t=25487
bu jiu shi 	不就是	c=1 d=2.77075e-19 t=25487
bu jiu xing 	不就行	c=1 d=5.92041e-40 t=25487
bu ka 	不卡	c=1 d=7.75814e-44 t=25487
bu kai 	不开	c=1 d=3.91227e-19 t=25487
bu kan 	不看	c=3 d=5.32955e-09 t=25487
bu kao lv 	不考虑	c=1 d=1.88402e-40 t=25487
bu ke 	不可	c=1 d=7.63899e-09 t=25487
bu ke neng 	不可能	c=1 d=1.15522e-21 t=25487
bu ke qi 	不客气	c=2 d=5.47675e-06 t=25487
bu ke xing 	不可行	c=1 d=3.38535e-23 t=25487
bu ken 	不肯	c=3 d=2.26887e-13 t=25487
bu kui shi 	不愧是	c=1 d=1.87723e-27 t=25487
bu lai 	不来	c=2 d=3.55275e-32 t=25487
bu lang 	不浪	c=1 d=1.53037e-06 t=25487
bu li ta 	不理她	c=1 d=3.4681e-13 t=25487
bu liao 	不了	c=2 d=1.08457e-14 t=25487
bu liao 	不聊	c=1 d=6.47595e-07 t=25487
bu liu 	不留	c=2 d=5.59118e-14 t=25487
bu ming bai 	不明白	c=1 d=1.87111e-18 t=25487
bu na me 	不那么	c=1 d=2.86651e-08 t=25487
bu na me da 	不那么大	c=1 d=2.88088e-07 t=25487
bu nan 	不难	c=1 d=2.01231e-21 t=25487
bu neng 	不能	c=27 d=0.0925562 t=25487
bu neng dong 	不能动	c=1 d=1.09492e-08 t=25487
bu neng qu 	不能去	c=1 d=2.18779e-34 t=25487
bu neng yong 	不能用	c=1 d=1.14155e-28 t=25487
bu pa 	不怕	c=1 d=0.551562 t=25487
bu pai chu 	不排除	c=1 d=2.76784e-36 t=25487
bu pao 	不跑	c=1 d=1.27276e-14 t=25487
bu pi pei 	不匹配	c=2 d=9.47495e-05 t=25487
bu qi 	补齐	c=6 d=0.00148173 t=25487
bu qi lai 	不起来	c=1 d=1.05888e-26 t=25487
bu qing bu chu 	不清不楚	c=1 d=4.91895e-07 t=25487
bu qing chu 	不清楚	c=5 d=5.17931e-24 t=25487
bu qing yuan 	不情愿	c=1 d=5.39687e-39 t=25487
bu qu 	不去	c=2 d=0.000784864 t=25487
bu quan 	补全	c=3 d=2.96146e-08 t=25487
bu que ding 	不确定	c=1 d=1.1197e-36 t=25487
bu ran 	不然	c=17 d=1.85524e-05 t=25487
bu rang 	不让	c=3 d=2.26139e-07 t=25487
bu rang yue hui 	不让约会	c=1 d=4.01267e-23 t=25487
bu ru 	不如	c=4 d=0.0581343 t=25487
bu shang 	不上	c=2 d=5.43861e-36 t=25487
bu shao 	不少	c=13 d=0.000107801 t=25487
bu shi 	不是	c=73 d=0.180371 t=25487
bu shi he 	不适合	c=1 d=2.22395e-21 t=25487
bu shi wo 	不是我	c=2 d=0.66034 t=25487
bu shi yi 	不适宜	c=1 d=1.1978e-35 t=25487
bu shuang 	不爽	c=1 d=7.01391e-34 t=25487
bu shuo 	不说	c=1 d=5.78624e-35 t=25487
bu suan 	不算	c=2 d=9.21187e-35 t=25487
bu suan duo 	不算多	c=1 d=2.08719e-39 t=25487
bu suan shu 	不算数	c=1 d=0.204948 t=25487
bu tai 	不太	c=7 d=1.3238e-06 t=25487
bu tai guan 	不太管	c=1 d=3.67418e-45 t=25487
bu tai hao 	不太好	c=1 d=5.41931e-29 t=25487
bu tan 	不谈	c=0 d=1.90528e-26 t=25487
bu tan hao 	不谈好	c=1 d=1.91483e-25 t=25487
bu ti gong 	不提供	c=1 d=3.24145e-12 t=25487
bu ting 	不听	c=2 d=8.60536e-28 t=25487
bu tong 	不同	c=19 d=0.00927911 t=25487
bu wan 	不完	c=0 d=1.31402e-08 t=25487
bu wan 	不晚	c=0 d=1.38927e-16 t=25487
bu wan zheng 	不完整	c=1 d=3.18332e-05 t=25487
bu wang 	不枉	c=1 d=1.9371e-14 t=25487
bu wei 	部位	c=1 d=2.54756e-31 t=25487
bu wen ding 	不稳定	c=0 d=1.6019e-15 t=25487
bu xi huan 	不喜欢	c=5 d=0.052602 t=25487
bu xi huan hui 	不喜欢会	c=1 d=8.74729e-44 t=25487
bu xia qu le 	不下去了	c=0 d=3.34757e-39 t=25487
bu xiang 	不像	c=2 d=0.00452858 t=25487
bu xiang 	不想	c=10 d=0.0246002 t=25487
bu xiang qu 	不想去	c=1 d=1.3403e-34 t=25487
bu xie 	不写	c=2 d=1.49798e-19 t=25487
bu xin 	不信	c=2 d=1.29117e-35 t=25487
bu xin xian 	不新鲜	c=1 d=1.84645e-09 t=25487
bu xing 	不行	c=15 d=5.55708e-07 t=25487
bu xu yao 	不需要	c=6 d=5.86582e-19 t=25487
bu yan 	不演	c=1 d=7.49156e-15 t=25487
bu yao 	不要	c=15 d=0.0776961 t=25487
bu yao jin 	不要紧	c=2 d=1.0083e-09 t=25487
bu yao yong 	不要用	c=1 d=1.10992e-21 t=25487
bu yi 	不易	c=1 d=4.22357e-08 t=25487
bu yi 	补一	c=0 d=5.43536e-06 t=25487
bu yi ding 	不一定	c=7 d=0.0016235 t=25487
bu yi xia 	补一下	c=1 d=5.4626e-05 t=25487
bu yi yang 	不一样	c=5 d=3.9879e-09 t=25487
bu yi zhi 	不一致	c=1 d=5.69522e-25 t=25487
bu ying gai 	不应该	c=3 d=0.179066 t=25487
bu yong 	不用	c=19 d=0.000421961 t=25487
bu yu 	不与	c=1 d=1.76094e-10 t=25487
bu yuan yi 	不愿意	c=2 d=1.46378e-12 t=25487
bu yue 	不约	c=1 d=3.70416e-23 t=25487
bu zai 	不再	c=1 d=9.03089e-37 t=25487
bu zai 	不在	c=9 d=0.835287 t=25487
bu zhao 	不招	c=1 d=4.3327e-14 t=25487
bu zhao ji 	不着急	c=1 d=1.15699e-39 t=25487
bu zhe die 	不折叠	c=1 d=3.57372e-13 t=25487
bu zhe teng 	不折腾	c=1 d=1.58102e-36 t=25487
bu zheng chang 	不正常	c=2 d=1.80086e-09 t=25487
bu zhi 	不值	c=1 d=1.45143e-30 t=25487
bu zhi 	不止	c=1 d=2.86593e-34 t=25487
bu zhi 	不直	c=1 d=3.70806e-06 t=25487
bu zhi 	不知	c=3 d=0.279431 t=25487
bu zhi dao 	不知道	c=34 d=0.544507 t=25487
bu zhou 	步骤	c=1 d=1.1265e-19 t=25487
bu zhun 	不准	c=1 d=9.65903e-34 t=25487
bu zhun que 	不准确	c=1 d=9.91736e-21 t=25487
bu zi jue 	不自觉	c=1 d=6.09346e-26 t=25487
bu zi zai 	不自在	c=1 d=2.84186e-23 t=25487
bu zu 	不足	c=2 d=7.69311e-20 t=25487
bu zun zhong 	不尊重	c=2 d=7.49223e-36 t=25487
bu zuo 	不做	c=3 d=1.22519e-07 t=25487
c md 	cmd	c=1 d=6.05358e-37 t=25487
c ovid 	covid	c=1 d=3.86926e-36 t=25487
cai 	才	c=15 d=0.24388 t=25487
cai 	猜	c=1 d=0.00208081 t=25487
cai 	菜	c=2 d=8.57157e-30 t=25487
cai 	踩	c=1 d=6.99697e-35 t=25487
cai ba 	才把	c=1 d=2.22584e-31 t=25487
cai ce 	猜测	c=3 d=0.00251622 t=25487
cai da 	彩打	c=1 d=4.70411e-11 t=25487
cai dan 	菜单	c=1 d=8.61147e-07 t=25487
cai dao 	才到	c=2 d=9.62719e-45 t=25487
cai dui 	才对	c=1 d=4.98024e-35 t=25487
cai fang 	采访	c=1 d=3.46751e-11 t=25487
cai jian 	裁剪	c=1 d=8.75802e-29 t=25487
cai kan dao 	才看到	c=1 d=4.91027e-45 t=25487
cai liao 	材料	c=9 d=1.79696e-19 t=25487
cai mai 	才买	c=1 d=1.81921e-40 t=25487
cai mao 	才貌	c=1 d=1.04924e-36 t=25487
cai neng 	才能	c=5 d=4.91603e-09 t=25487
cai neng yong 	才能用	c=1 d=4.64449e-08 t=25487
cai pai 	彩排	c=0 d=1.20461e-44 t=25487
cai pai wan 	彩排完	c=1 d=1.21065e-43 t=25487
cai qu 	采取	c=2 d=0.00302755 t=25487
cai rang 	才让	c=0 d=4.24388e-36 t=25487
cai rang wo 	才让我	c=1 d=4.26515e-35 t=25487
cai shi 	才是	c=2 d=4.51812e-07 t=25487
cai yang 	采样	c=2 d=3.50057e-05 t=25487
